pdk_name,tech_opt,profile,lib_name,cell_name,cds_lib,temperature,skew,layout,netlist
pdk783_r0.9,opt12,icv_native,qa78ringoscillator,tc_180_ro_top,/nfs/site/disks/x5e2d_workarea_beheraab_002/waldo/extraction_WW38.4/src/waldo_extract/data/profiles/profile3/cds.lib,25,tttt,/nfs/site/disks/x5e2d_workarea_beheraab_002/waldo/extraction_WW38.4/run/src/waldo_extract/test_oas_csl_generator.py/test_func/pdk783_r0.9_opt12_qa78ringoscillator_tc_180_ro_top/local/tc_180_ro_top.oas,/nfs/site/disks/x5e2d_workarea_beheraab_002/waldo/extraction_WW38.4/run/src/waldo_extract/test_oas_csl_generator.py/test_func/pdk783_r0.9_opt12_qa78ringoscillator_tc_180_ro_top/local/tc_180_ro_top.cdl
pdk783_r0.9,opt12,icv_native,qa78libana,tc_stinv_pars_e,/nfs/site/disks/x5e2d_workarea_beheraab_002/waldo/extraction_WW38.4/src/waldo_extract/data/profiles/profile3/cds.lib,25,tttt,/nfs/site/disks/x5e2d_workarea_beheraab_002/waldo/extraction_WW38.4/run/src/waldo_extract/test_oas_csl_generator.py/test_func/pdk783_r0.9_opt12_qa78libana_tc_stinv_pars_e/local/tc_stinv_pars_e.oas,/nfs/site/disks/x5e2d_workarea_beheraab_002/waldo/extraction_WW38.4/run/src/waldo_extract/test_oas_csl_generator.py/test_func/pdk783_r0.9_opt12_qa78libana_tc_stinv_pars_e/local/tc_stinv_pars_e.cdl
